Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27 14:57:31
Temperature: 82 F || Date and Time: 2017-07-27 15:01:54
Temperature: 82 F || Date and Time: 2017-07-27 15:02:54
Temperature: 82 F || Date and Time: 2017-07-27 15:03:54
Temperature: 82 F || Date and Time: 2017-07-27 15:04:54
Temperature: 82 F || Date and Time: 2017-07-27 15:05:54
Temperature: 82 F || Date and Time: 2017-07-27 15:06:55
Temperature: 82 F || Date and Time: 2017-07-27 15:07:55
Temperature: 82 F || Date and Time: 2017-07-27 15:08:55
Temperature: 82 F || Date and Time: 2017-07-27 15:09:55
Temperature: 82 F || Date and Time: 2017-07-27 15:10:14 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:11:14 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:12:14 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:13:14 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:14:14 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:15:17 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:16:17 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:25:18 || Hvac State: cooling || Target Temperature: 74
Temperature: 82 F || Date and Time: 2017-07-27 15:26:00 || Hvac State: cooling || Target Temperature in F: 74
Temperature: 82 F || Date and Time: 2017-07-27 15:27:00 || Hvac State: cooling || Target Temperature in F: 74
Temperature: 82 F || Date and Time: 2017-07-27 15:28:00 || Hvac State: cooling || Target Temperature in F: 74
Temperature: 82 F || Date and Time: 2017-07-27 15:29:00 || Hvac State: cooling || Target Temperature in F: 74
Temperature: 82 F || Date and Time: 2017-07-27 15:29:18 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:30:18 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:31:58 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:32:58 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:33:58 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:34:58 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:35:58 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:36:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:37:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:38:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:39:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:40:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:41:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:43:00 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:44:00 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:45:00 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:46:00 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:47:00 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:48:01 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:49:01 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:50:01 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:51:01 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:52:01 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:53:02 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:59:13 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 16:00:13 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 16:01:13 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 16:02:13 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:02:54 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:03:10 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:03:12 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:03:26 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:04:26 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:05:26 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:11:29 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:09:20 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:10:20 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:11:20 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:12:20 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:13:20 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:14:21 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:15:21 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:16:21 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:17:21 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:18:21 || Hvac State: cooling || Target Temperature in F: 67 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:19:22 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:20:22 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:23:32 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:24:32 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:21:39 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:22:39 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:23:39 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:24:39 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:25:39 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:26:40 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:27:40 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:28:40 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:29:40 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:30:40 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:31:42 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:32:42 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:33:42 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:34:42 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:35:42 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:36:43 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:37:43 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:38:43 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:39:43 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 83 F || Date and Time: 2017-07-27 16:40:43 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 80 F || Date and Time: 2017-07-28 14:47:10 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 80 F || Date and Time: 2017-07-28 14:48:35 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 81 F || Date and Time: 2017-07-28 14:49:51 || Hvac State: off || Target Temperature in F: 87 || Is Fan Timer Active: False
Temperature: 81 F || Date and Time: 2017-07-28 14:51:01 || Hvac State: off || Target Temperature in F: 76 || Is Fan Timer Active: False
Temperature: 81 F || Date and Time: 2017-07-28 14:52:17 || Hvac State: cooling || Target Temperature in F: 76 || Is Fan Timer Active: True
Temperature: 81 F || Date and Time: 2017-07-28 14:53:21 || Hvac State: cooling || Target Temperature in F: 70 || Is Fan Timer Active: True
Temperature: 81 F || Date and Time: 2017-07-28 14:53:23 || Hvac State: cooling || Target Temperature in F: 70 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-31 11:53:24 || Hvac State: off || Target Temperature in F: 81 || Is Fan Timer Active: False
